,0
2011-05-12,-41.094023457
2011-05-13,-41.7364044203
2011-05-16,-39.4975756159
2011-05-17,-37.7957028785
2011-05-18,-38.412652092
2011-05-19,-40.6422853322
2011-05-20,-40.6127501538
2011-05-23,-40.5193230876
2011-05-24,-44.6647626343
2011-05-25,-41.4882315008
2011-05-26,-44.1137771653
2011-05-27,-44.6883822357
2011-05-31,-41.612961747
2011-06-01,-40.3234046633
2011-06-02,-34.1419048809
2011-06-03,-32.8849616313
2011-06-06,-34.7415489904
2011-06-07,-34.141388881
2011-06-08,-34.6929509393
2011-06-09,-32.492964205
2011-06-10,-32.3099075349
2011-06-13,-32.3933774376
2011-06-14,-32.0927716702
2011-06-15,-31.3035965568
2011-06-16,-31.8506265366
2011-06-17,-29.6932138091
2011-06-20,-31.5741455648
2011-06-21,-30.081048614
2011-06-22,-30.6148927729
2011-06-23,-31.1486804608
2011-06-24,-32.0127356248
2011-06-27,-31.233601908
2011-06-28,-32.0107391739
2011-06-29,-30.8183454122
2011-06-30,-31.2637522609
2011-07-01,-29.6307484669
2011-07-05,-25.4153873443
2011-07-06,-25.7511795824
2011-07-07,-26.1337284292
2011-07-08,-25.0244496163
2011-07-11,-23.566502169
2011-07-12,-22.4763313255
2011-07-13,-25.091020677
2011-07-14,-24.8828511454
2011-07-15,-25.330028441
2011-07-18,-25.7413104113
2011-07-19,-26.2368585012
2011-07-20,-26.3143830615
2011-07-21,-26.4992426261
2011-07-22,-25.2588429025
2011-07-25,-26.1771671858
2011-07-26,-26.0478641738
2011-07-27,-27.4970380541
2011-07-28,-26.8396285518
2011-07-29,-24.4956644548
2011-08-01,-22.9655451264
2011-08-02,-27.5829886755
2011-08-03,-27.0258966107
2011-08-04,-30.0462870362
2011-08-05,-30.080909696
2011-08-08,-29.9488797261
2011-08-09,-27.1029093178
2011-08-10,-27.8577612257
2011-08-11,-26.5253634939
2011-08-12,-27.5275617151
2011-08-15,-27.7913642115
2011-08-16,-28.0034505814
2011-08-17,-27.0678609595
2011-08-18,-29.639966916
2011-08-19,-29.107859348
2011-08-22,-28.9366352731
2011-08-23,-34.7121734421
2011-08-24,-36.0718243282
2011-08-25,-34.7574152401
2011-08-26,-34.540370912
2011-08-29,-30.4185763221
2011-08-30,-30.4690437957
2011-08-31,-31.0312766746
2011-09-01,-28.3872774864
2011-09-02,-28.0396129456
2011-09-06,-25.8565354161
2011-09-07,-17.7829023378
2011-09-08,-15.5004983029
2011-09-09,-16.0690287633
2011-09-12,-18.4860113918
2011-09-13,-16.5673082644
2011-09-14,-14.9226591439
2011-09-15,-13.5192738147
2011-09-16,-15.0136627698
2011-09-19,-16.0703476866
2011-09-20,-16.1803917707
2011-09-21,-19.4741692067
2011-09-22,-24.1062706234
2011-09-23,-25.5214903489
2011-09-26,-25.994472825
2011-09-27,-24.7531383762
2011-09-28,-24.6868586222
2011-09-29,-25.2172575207
2011-09-30,-24.9639653779
2011-10-03,-22.0946817008
2011-10-04,-25.302335327
2011-10-05,-27.3542973153
2011-10-06,-29.3198838572
2011-10-07,-28.5084122911
2011-10-10,-27.5000169589
2011-10-11,-28.2510255884
2011-10-12,-30.7534710304
2011-10-13,-30.9031113844
2011-10-14,-29.5309280793
2011-10-17,-28.9871992566
2011-10-18,-34.4735921028
2011-10-19,-33.068576178
2011-10-20,-34.3212134847
2011-10-21,-34.7362114033
2011-10-24,-34.0648949511
2011-10-25,-32.1690347833
2011-10-26,-32.1776186718
2011-10-27,-33.4857565773
2011-10-28,-33.6228882754
2011-10-31,-35.3250366892
2011-11-01,-37.4877450776
2011-11-02,-38.7860475088
2011-11-03,-45.4005014296
2011-11-04,-46.7133887691
2011-11-07,-44.1705415367
2011-11-08,-44.6820285189
2011-11-09,-43.5014101533
2011-11-10,-43.533111286
2011-11-11,-43.7802272148
2011-11-14,-40.268727412
2011-11-15,-41.0945999882
2011-11-16,-41.5686890923
2011-11-17,-39.9587701185
2011-11-18,-40.6428773816
2011-11-21,-40.3120035794
2011-11-22,-39.9792692647
2011-11-23,-38.1690333006
2011-11-25,-40.337727747
2011-11-28,-38.5530569472
2011-11-29,-39.8698726759
2011-11-30,-36.4975856156
2011-12-01,-35.9342345652
2011-12-02,-35.2454153094
2011-12-05,-34.4216393715
2011-12-06,-34.4751008696
2011-12-07,-33.4420851757
2011-12-08,-32.6410336559
2011-12-09,-29.0735582879
2011-12-12,-28.2059871609
2011-12-13,-28.8422382493
2011-12-14,-30.9636673955
2011-12-15,-31.5568397236
2011-12-16,-32.6446979451
2011-12-19,-32.9732202136
2011-12-20,-30.9691205196
2011-12-21,-31.9310728542
2011-12-22,-31.3278665049
2011-12-23,-33.6444435104
2011-12-27,-34.7678834747
2011-12-28,-34.8895508206
2011-12-29,-33.3275372823
2011-12-30,-35.584807451
2012-01-03,-35.751090775
2012-01-04,-34.7589241357
2012-01-05,-35.6324431213
2012-01-06,-35.9855155438
2012-01-09,-36.4954576738
2012-01-10,-34.2704177271
2012-01-11,-33.3766681427
2012-01-12,-33.1706200571
2012-01-13,-30.7912118062
2012-01-17,-27.8850560182
2012-01-18,-26.5588965056
2012-01-19,-27.6385378236
2012-01-20,-28.7399181753
2012-01-23,-28.5026075354
2012-01-24,-27.0461238722
2012-01-25,-27.4067560393
2012-01-26,-28.9013995811
2012-01-27,-24.7826602518
2012-01-30,-25.8264224915
2012-01-31,-25.1344132779
2012-02-01,-25.9810718318
2012-02-02,-25.1825826374
2012-02-03,-22.7349256744
2012-02-06,-22.0551438457
2012-02-07,-23.5364118746
2012-02-08,-24.3447636015
2012-02-09,-23.2712880346
2012-02-10,-24.5664979169
2012-02-13,-22.7974078467
2012-02-14,-21.6883572345
2012-02-15,-19.714504098
2012-02-16,-19.6446783321
2012-02-17,-16.398177353
2012-02-21,-17.5476608034
2012-02-22,-17.6376782365
2012-02-23,-16.8604933538
2012-02-24,-17.2511021431
2012-02-27,-17.4354989532
2012-02-28,-15.8348526958
2012-02-29,-17.4935775552
2012-03-01,-17.1199236193
2012-03-02,-15.9816948976
2012-03-05,-16.3090433558
2012-03-06,-18.3898486724
2012-03-07,-17.9677231966
2012-03-08,-18.8974071439
2012-03-09,-21.6112182197
2012-03-12,-20.4654207013
2012-03-13,-20.2187146287
2012-03-14,-18.8748700889
2012-03-15,-18.4662061377
2012-03-16,-18.6489690454
2012-03-19,-19.8660858363
2012-03-20,-19.7564679305
2012-03-21,-19.7423818236
2012-03-22,-18.3461183919
2012-03-23,-17.9213816232
2012-03-26,-18.803404379
2012-03-27,-19.6711449167
